2017-01-17,49
2017-01-18,47
2017-01-19,55
2017-01-20,57
2017-01-21,47
2017-01-22,56
2017-01-23,61
2017-01-24,59
2017-01-25,57
2017-01-26,53
2017-01-27,50
2017-01-28,38
2017-01-29,52
2017-01-30,60
2017-01-31,57
2017-02-01,54
2017-02-02,63
2017-02-03,60
2017-02-04,44
2017-02-05,40
2017-02-06,61
2017-02-07,64
2017-02-08,69
2017-02-09,55
2017-02-10,68
2017-02-11,50
2017-02-12,72
2017-02-13,61
2017-02-14,54
2017-02-15,57
2017-02-16,85
2017-02-17,100
2017-02-18,78
2017-02-19,85
2017-02-20,77
2017-02-21,72
2017-02-22,62
2017-02-23,62
2017-02-24,69
2017-02-25,66
2017-02-26,62
2017-02-27,66
2017-02-28,59
2017-03-01,49
2017-03-02,52
2017-03-03,48
2017-03-04,38
2017-03-05,43
2017-03-06,51
2017-03-07,53
2017-03-08,46
2017-03-09,44
2017-03-10,41
2017-03-11,36
2017-03-12,39
2017-03-13,54
2017-03-14,48
2017-03-15,44
2017-03-16,40
2017-03-17,43
2017-03-18,38
2017-03-19,36
2017-03-20,44
2017-03-21,46
2017-03-22,45
2017-03-23,50
2017-03-24,44
2017-03-25,30
2017-03-26,35
2017-03-27,62
2017-03-28,46
2017-03-29,43
2017-03-30,49
2017-03-31,47
2017-04-01,50
2017-04-02,34
2017-04-03,44
2017-04-04,45
2017-04-05,41
2017-04-06,46
2017-04-07,45
2017-04-08,33
2017-04-09,30
2017-04-10,32
2017-04-11,41
2017-04-12,40
2017-04-13,44
2017-04-14,38
2017-04-15,31
